date,total_energy
2020-06-26,3413.624129193
2020-06-27,3075.679981586
2020-06-28,1686.725179985
2020-06-29,3512.774736757
2020-06-30,4209.049619523
2020-07-01,3751.066025854
2020-07-02,3481.887163458
2020-07-03,3427.483896837
2020-07-04,3694.964783214
2020-07-05,4412.615357505
2020-07-06,4431.3635182
2020-07-07,4256.926578697
2020-07-08,4375.041028205
2020-07-09,4325.38064445
2020-07-10,4367.425520144
2020-07-11,3774.984089151
2020-07-12,3989.43650204
2020-07-13,3957.386133524
2020-07-14,3958.469769099
2020-07-15,3447.587791432
2020-07-16,3519.373013584
2020-07-17,3370.0691119909998
2020-07-18,3217.679766512
2020-07-19,3473.040350186
2020-07-20,3619.485478042
2020-07-21,3478.236217041
2020-07-22,3245.514302353
2020-07-23,3728.550740886
2020-07-24,3691.86830943
2020-07-25,3220.065356625
2020-07-26,3568.363815328
2020-07-27,3769.869633497
2020-07-28,3773.678923199
2020-07-29,3858.512364371
2020-07-30,3895.338901907
2020-07-31,4101.839307327
2020-08-01,3663.911640794
2020-08-02,3784.458349916
2020-08-03,4641.193763621
2020-08-04,4117.907611951
2020-08-05,3192.586497915
2020-08-06,3504.79858957
2020-08-07,4004.764196503
2020-08-08,3431.404825355
2020-08-09,3890.403143382
2020-08-10,3893.97011935
2020-08-11,3751.898546501
2020-08-12,4090.007072185
2020-08-13,4354.381725523
2020-08-14,5906.143881371
2020-08-15,6045.00244375
2020-08-16,6313.906649689
2020-08-17,5710.137415338
2020-08-18,6109.721466424
2020-08-19,6085.030405585
2020-08-20,4739.555491165
2020-08-21,4789.496235513
2020-08-22,5104.012678224
2020-08-23,5019.253448988
2020-08-24,5512.099662873
2020-08-25,5462.220383035
2020-08-26,5277.676732502
2020-08-27,4782.314302368
2020-08-28,5129.702787304
2020-08-29,4352.978534417
2020-08-30,4502.780182356
2020-08-31,4938.259806726
2020-09-01,3878.545359231
2020-09-02,3529.947609164
2020-09-03,3485.501933444
2020-09-04,3620.487424932
2020-09-05,3191.902689292
2020-09-06,3414.288650626
2020-09-07,3265.562143977
2020-09-08,3578.360057271
2020-09-09,3725.295807688
2020-09-10,3656.400979711
2020-09-11,3954.775016856
2020-09-12,4846.819015013
2020-09-13,4811.868328922
2020-09-14,4877.733164348
2020-09-15,5457.925129388
2020-09-16,5311.785299073
2020-09-17,4253.927514694
2020-09-18,3671.65971718
2020-09-19,3459.186208776
2020-09-20,4015.589177726
2020-09-21,4047.959582423
2020-09-22,4264.292362065
2020-09-23,4213.82491107
2020-09-24,4275.072620363
2020-09-25,4253.173354703
2020-09-26,3803.200129096
2020-09-27,4518.80122577
2020-09-28,5864.865957372
2020-09-29,4212.283604101
2020-09-30,4216.480929958
2020-10-01,6371.165170037
2020-10-02,6292.74194055
2020-10-03,5438.996251039
2020-10-04,5217.533832793
2020-10-05,5061.824826981
2020-10-06,3876.594250709
2020-10-07,3677.232724654
2020-10-08,3495.701699199
2020-10-09,1413.142096298
2020-10-10,3126.621881226
2020-10-11,3602.165138151
2020-10-12,4175.629815809
2020-10-13,4750.098925542
2020-10-14,5097.03956485
2020-10-15,5842.638060972
2020-10-16,4618.725215941
2020-10-17,5790.462191578
2020-10-18,5043.788719713
2020-10-19,3427.725280783
2020-10-20,3834.252139625
2020-10-21,3146.751966126
2020-10-22,2314.148389686
2020-10-23,1240.0400990159999
2020-10-24,995.424971113
2020-10-25,1124.5481233
2020-10-26,1259.778986103
2020-10-27,1886.130476502
2020-10-28,3885.071979435
2020-10-29,4029.705177304
